date,equity,cash,n_positions,exposure,drawdown
2024-07-31,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-08-01,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-08-02,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-08-03,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-08-04,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-08-05,117895.97970858068,78632.84650680616,2,0.33303199395625255,0.0361249136567223
2024-08-06,119453.79302164672,57268.83949581583,3,0.5205774714459012,0.02338879283776146
2024-08-07,117006.03828359066,57268.83949581583,3,0.510547999608261,0.04340075435945899
2024-08-08,124618.96859732136,57268.83949581583,3,0.5404484554765702,0.0
2024-08-09,122883.94236987634,57268.83949581583,3,0.5339599430864723,0.013922649553065835
2024-08-10,123702.5547665327,57268.83949581583,3,0.5370440036270802,0.0073537266525600066
2024-08-11,121884.08184110439,57268.83949581583,3,0.5301368428858904,0.021945990943434607
2024-08-12,125341.28225897574,57268.83949581583,3,0.5430967478257565,0.0
2024-08-13,125260.9610912813,57268.83949581583,3,0.542803767455669,0.0006408197382925412
2024-08-14,124574.86035571061,81320.63817836391,2,0.3472146952751041,0.0061146805701379125
